ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
30,"Guillelmus Autissiodorensis, Summa de officiis ecclesiasticis. Kritisch-digitale Erstausgabe",d’Auxerre,Guglielmo,Fischer,Franz ,Cologne Center for eHumanities / Institut für Dokumentologie und Editorik,50.9413,6.9583,Cologne,2921044,50.9375,6.9603,Germany,https://cceh.uni-koeln.de,2000,"""LAT""",https://guillelmus.uni-koeln.de/tcrit/tcrit_prologus,Medieval,"Moral Philosophy, Philosophy of Religion",Manuscript,yes,yes,yes,yes, partly,no,yes,,
31,"
Hannah Arendt. Kritische Gesamtausgabe",Arendt,Hannah,Gerlach,Hannah,Freie Universität Berlin,52.4525,13.3153,Berlin,2950159,52.52,13.405,Germany,https://www.fu-berlin.de,2023,"""GER, ENG""",https://hannah-arendt-edition.net/home?lang=de,Contemporary,"Political Philosophy, Ethics, Practical Philosophy, Philosophy of History","Manuscript, Typoscript, Book",yes,yes,yes,no,XML-TEI,no,yes,,
31,"
Hannah Arendt. Kritische Gesamtausgabe",Arendt,Hannah,Kieslich,Ingo,Freie Universität Berlin,52.4525,13.3153,Berlin,2950159,52.52,13.405,Germany,https://www.fu-berlin.de,2023,"""GER, ENG""",https://hannah-arendt-edition.net/home?lang=de,Contemporary,"Political Philosophy, Ethics, Practical Philosophy, Philosophy of History","Manuscript, Typoscript, Book",yes,yes,yes,no,XML-TEI,no,yes,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Vinje,Eiliv,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Zeeberg,Peter,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
32,Ludvig Holbergs Skrifter,Holbergs,Ludvig,Skovgaard-Petersen,Karen,Society for Danish Language and Literature / University of Bergen,59.9139,10.7522,Bergen/Kopenhagen,3161732,60.39299,5.32415,Norway/Denmark,https://www.uib.no/en,2015,"""DAN""",http://holbergsskrifter.dk/,Modern,"Practical Philosophy, Ethics, Aesthetics, Political Philosophy","Works, letter",yes,yes,no,no,XML-TEI,no,,,
33,"
Hugh of Saint Victor's De quinque septenis (On the Five Sevens) and Its Versification in Samuel Presbiter's De oratione dominica (On the Lord's Prayer)",Victor,Hugh of Saint,Dunning,Andrew,University of Oxford,51.754816,1.254367,Oxford,2640729,51.75202,-1.25773,United Kingdom,https://www.ox.ac.uk/,2016,"""LAT""",http://scholarlyediting.org/2016/editions/intro.dunning.html,Medieval,"Philosophy of Religion, Moral Philosophy",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
34,"
Anonymus Magister Artium Pragensis: Recommendationes Recommendatio baccalaureorum artium: Invitati ascendant",Presbiter,Samuel,Maga,Mihai,Babeș-Bolyai University,46.769379,23.589954,Cluj-Napoca,686963,46.77121,23.62364,Romania,https://www.ubbcluj.ro/en/,2020,"""LAT""",https://www.dhcluj.ro/digitaleditions/?file=APRIA,Medieval,Practical Philosophy,Manuscript,yes,yes,no,no,XML-TEI,only image,not provided,,
35,The Greek Bible in Byzantine Judaism,,,Lange,Nicholas de,University of Cambridge / Centre for Computing in the Humanities (CCH),52.204267,0.114908,Cambridge,52.20534,0.12182,0.12182,United Kingdom,https://www.cam.ac.uk/,2010,,https://www.gbbj.org/,Medieval,"Philosophy of Religion, History of Philosophy",Manuscript,yes,yes,yes,yes,HTML/XML,no,yes,,
35,The Greek Bible in Byzantine Judaism,,,Short,Harold,University of Cambridge / Centre for Computing in the Humanities (CCH),52.204267,0.114908,Cambridge,52.20534,0.12182,0.12182,United Kingdom,https://www.cam.ac.uk/,2010,,https://www.gbbj.org/,Medieval,"Philosophy of Religion, History of Philosophy",Manuscript,yes,yes,yes,yes,HTML/XML,no,yes,,
